Symbol,HeadNeck,Body,Extremities,PalmSole,Perinaeum
NFATC4,12.23170719,12.64805307,14.39246161,12.47554335,21.43329639
NFE2,3.327829902,6.506315069,2.72134004,1.854046261,6.423767377
NFE2L1,123.1458466,136.986718,140.6034614,157.7988369,96.1627863
NFE2L2,97.69739431,94.34882833,77.13299465,61.01245224,72.69771807
NFE2L3,34.97622948,22.71091778,13.59166478,9.175541521,19.29346795
NFIA,12.18055957,10.61432324,12.72748876,13.91413563,17.46583105
NFIB,19.75719902,17.35605339,19.76990001,23.28304784,18.6801121
NFIC,38.4367043,40.28204263,43.29204634,49.38827723,32.44821836
NFIL3,52.97708869,29.92493634,28.25501115,28.04635779,19.54617541
NFIX,102.1422336,113.2563709,117.8910746,134.6542354,62.07091974
NFKB1,28.08536537,29.31438743,24.03071188,23.13616188,21.64155082
NFKB2,27.79073032,23.36524202,19.6986972,16.4525665,26.2004974
NFKBIA,164.6067345,188.5455174,147.9014897,131.0231517,125.6678497
NFKBIB,30.51830298,25.88520249,23.76469839,21.81937158,29.05789006
NFKBID,7.59664942,5.356313063,4.859433483,3.674668561,10.4228856
NFKBIE,13.26478659,10.55568212,8.384996018,6.73673871,13.23668489
NFKBIL1,25.84936208,28.25797164,28.54495321,26.75119287,35.81109398
NFKBIZ,41.76625383,52.37404405,36.7451395,28.85330848,46.88290957
NFRKB,14.98554339,16.10692459,13.62444468,12.70937118,17.13498017
NFS1,9.043825968,8.285993406,7.70536885,7.545010542,11.16777471
NFU1,21.78522886,18.20285731,19.79624095,22.15219755,20.4334765
NFX1,23.97567795,23.47944497,21.21013563,20.94291482,21.07490288
NFXL1,8.443113593,6.930582893,7.318963648,6.95349654,10.67885817
NFYA,19.3590381,16.6507001,14.72119741,14.68303017,15.83481067
NFYB,22.3375365,19.28705393,20.3329218,20.33959842,22.70574866
NFYC,24.20342991,25.46635345,21.03708374,21.28209949,19.72690131
NGDN,15.30912804,15.22837094,15.45614227,14.53998698,19.63771223
NGEF,11.70218204,16.51619545,16.97228,17.45730884,19.76268061
NGF,1.403517166,2.500340952,3.335181383,3.936414823,9.415701991
NGFR,17.67688962,20.40484567,28.45941069,37.26673072,17.92338062
NGLY1,11.00540096,9.45639981,8.260330181,7.276638063,12.96885109
NGRN,13.43501801,12.41176187,14.0082038,15.30368452,14.8411781
NHEG1,#N/A,#N/A,#N/A,#N/A,#N/A
NHEJ1,0.156253315,0.166569957,0.09627341,0.063730695,4.870501034
NHLH1,0.240488788,0.187889574,0.273388951,0.232398943,5.058764993
NHLH2,0.812662512,1.800397277,1.140630796,0.440384223,6.938057315
NHLRC1,10.23314212,12.85454139,10.95242419,10.28025241,13.61081909
NHLRC2,10.6456396,9.546617294,9.527503776,9.762370681,12.07871845
NHLRC3,12.62863753,11.63210528,12.2168056,12.18269707,14.93856431
NHLRC4,0.970399885,1.357151628,1.149081421,1.377218145,5.527878261
NHP2,134.5628495,130.6287413,117.0713948,104.5194836,134.0475132
NHP2P1,0.980061972,1.035055261,0.889892217,0.733114039,5.656199231
NHS,3.318019909,2.306471245,3.397944962,3.814693752,7.416646636
NHSL1,6.823370801,8.208883181,6.723034346,6.711285806,10.32786458
NHSL2,3.377391534,3.006672666,3.915382242,5.014997419,6.67941065
NID1,21.60633369,22.12696749,30.84493884,36.06107696,26.08198606
NID2,9.408867376,7.620767707,9.795343648,11.10456393,12.583763
NIF3L1,26.04522605,24.62341797,24.13143175,23.27457261,26.02511419
NIFK,38.98728618,33.69642125,32.52514613,31.46554844,34.39864103
NIM1K,1.0272812,0.721736512,0.946384917,0.972596022,5.580834455
NIN,16.33406546,12.16429475,13.08834753,13.14108421,13.79301884
NINJ1,67.55239868,74.34940404,57.66881406,57.97044623,41.19499618
NINJ2,6.35275203,7.885879588,6.857737513,6.950210569,9.685866253
NINL,5.62422008,3.770510039,4.113793891,4.29843995,8.690352242
NIP7,29.26132975,26.82429879,25.37983799,24.13132013,29.68545211
NIPA1,6.549348116,6.575928554,5.880585163,5.734532457,9.086782274
NIPA2,40.03071133,33.3544042,29.48760603,28.9378325,29.23838845
NIPAL1,35.08097857,50.58454007,27.11981644,19.3335416,21.88975283
NIPAL2,66.31042131,62.71706306,44.74869217,36.54054149,50.7434814
NIPAL3,12.05169004,14.90477992,13.98633431,16.41060473,11.14164548
NIPAL4,41.75953256,49.74281937,23.63923401,14.18149113,31.38467764
NIPBL,17.29061005,13.4733769,15.65187021,16.46203811,16.05545134
NIPSNAP1,33.20381197,26.45248622,22.16399582,22.59057175,21.73037072
NIPSNAP2,35.69024347,27.56848141,29.0510865,32.6242968,25.36494233
NIPSNAP3A,45.40438798,47.78231952,51.77854876,53.59843292,44.66783208
NIPSNAP3B,7.10702262,5.078140773,8.413026525,12.21398744,7.740764018
NISCH,39.49556911,43.40761483,39.56129046,36.83953855,43.44544258
NIT1,28.42794202,26.71010197,24.19377475,23.73353298,25.34370134
NIT2,21.58243827,14.92434849,13.7285149,11.01991421,22.84089282
NKAIN1,0.956743669,1.087151901,1.055752803,0.76298154,5.820063675
NKAIN2,0.431901598,0.587176122,0.577796879,0.77388358,5.099096318
