Symbol,HeadNeck,Body,Extremities,PalmSole,Perinaeum
ADHFE1,2.205490284,1.905340374,1.548165436,1.36439371,1.360952952
ADI1,40.87162857,39.97262753,38.11346557,35.75513798,34.99950155
ADIPOQ,140.9554401,38.93751343,56.75425098,322.5223393,13.18775778
ADIPOR1,120.5859124,124.9662852,126.3070333,106.0885026,112.9474245
ADIPOR2,50.3579739,44.38456326,45.84184589,#N/A,46.13429948
ADIRF,337.5378701,411.4072216,461.3696293,857.5190264,265.8316007
ADK,41.35230331,38.61620237,45.15294009,38.44974334,40.36772928
ADM,23.25383774,19.84796077,21.39897571,29.32224788,26.25474281
ADM2,0.606920166,0.757658108,0.651939939,0.545107275,0.611051742
ADM5,5.537309958,9.910919304,7.037501576,6.25151446,5.354436271
ADNP,29.96573986,29.35990633,33.17306079,32.92146132,36.44193188
ADNP2,13.3382181,14.28363564,15.38433747,14.20706866,13.74637079
ADO,25.19820171,20.4852484,22.46722936,20.86393178,25.97810331
ADORA1,4.582163768,7.900067135,7.350301986,11.2464114,0.825080657
ADORA2A,0.336546835,0.157173269,0.122265552,0.095915888,0.025509709
ADORA2B,12.08851767,12.11915217,11.53697268,6.928722515,14.98056827
ADORA2BP1,1.363630867,1.557671429,1.154091357,0.245195136,0.424273162
ADORA3,1.02546089,0.953108558,2.130913092,0.659822519,1.383632323
ADPGK,22.37669802,21.15374687,23.46986533,18.20290001,22.28281494
ADPRH,5.635701423,5.360723081,6.18929459,7.007800698,6.375113514
ADPRHL1,1.515838305,0.9267013,0.703350595,0.684166163,0.839044602
ADPRHL2,48.749235,46.54339312,47.49382004,38.96542837,51.61395439
ADPRM,11.69361488,13.47124061,14.06605404,11.97954486,11.2386858
ADRA1A,1.002315607,0.795445177,0.593324282,0.851330678,1.110008034
ADRA1B,0.986156942,0.959304512,1.166520263,2.996572051,3.357961543
ADRA1D,0.733742656,1.659482587,1.463855109,4.66786894,1.446829034
ADRA2A,23.50426987,31.46369818,40.7721847,68.24882909,29.52001825
ADRA2B,1.285070942,1.844054785,2.268400683,4.927279053,1.001844483
ADRA2C,8.707847318,9.761179301,7.279201982,13.46573543,10.74259762
